Ending Weight Token,Ending Weight USD,Sale Rate,Total Proceeds,Unsold Tokens,Average Price,Min Price
0.03,0.97,0.65,5346321.301,17500000,0.164502194,0.01018542
0.03,0.97,0.66,5618009.715,17000000,0.170242719,0.010989601
0.03,0.97,0.67,5904044.67,16500000,0.176240139,0.011869984
0.03,0.97,0.68,6205313.997,16000000,0.182509235,0.012835467
0.03,0.97,0.69,6522773.666,15500000,0.189065903,0.013896236
0.03,0.97,0.7,6857454.516,15000000,0.195927272,0.015063992
0.03,0.97,0.71,7210469.849,14500000,0.203111827,0.01635223
0.03,0.97,0.72,7583024.031,14000000,0.210639556,0.01777658
0.03,0.97,0.73,7976422.27,13500000,0.218532117,0.019355224
0.03,0.97,0.74,8392081.781,13000000,0.226813021,0.021109413
0.03,0.97,0.75,8831544.605,12500000,0.235507856,0.023064117
0.03,0.97,0.76,9296492.378,12000000,0.244644536,0.025248835
0.03,0.97,0.77,9788763.464,11500000,0.254253596,0.027698629
0.03,0.97,0.78,10310372.93,11000000,0.264368537,0.030455448
0.03,0.97,0.79,10863536.01,10500000,0.275026228,0.033569835
0.03,0.97,0.8,11450695.83,10000000,0.286267396,0.037103167
0.03,0.97,0.81,12074556.43,9500000,0.298137196,0.041130617
0.03,0.97,0.82,12738122.54,9000000,0.310685916,0.045745128
0.03,0.97,0.83,13444747.79,8500000,0.323969826,0.05106282
0.03,0.97,0.84,14198193.87,8000000,0.338052235,0.057230473
0.03,0.97,0.85,15002704.03,7500000,0.353004801,0.064436065
0.03,0.97,0.86,15863095.63,7000000,0.368909201,0.07292391
0.03,0.97,0.87,16784878.52,6500000,0.385859276,0.083016919
0.03,0.97,0.88,17774409.04,6000000,0.403963842,0.095150192
0.03,0.97,0.89,18839094.84,5500000,0.423350446,0.109923231
0.03,0.97,0.9,19987673.39,5000000,0.44417052,0.12818399
0.03,0.97,0.91,21230601.9,4500000,0.466606635,0.1511698
0.03,0.97,0.92,22580621.36,4000000,0.490883073,0.180755497
0.03,0.97,0.93,24053606.13,3500000,0.517281852,0.219917128
0.03,0.97,0.94,25669908.21,3000000,0.54616826,0.27366538
0.03,0.97,0.95,27456620.02,2500000,0.578034106,0.351113052
0.03,0.97,0.96,29451700.01,2000000,0.613577084,0.470681257
0.03,0.97,0.97,31712343.44,1500000,0.653862751,0.675843688
0.03,0.97,0.98,34334734.41,1000000,0.700708865,1.098710766
0.03,0.97,0.99,37512787.47,500000,0.75783409,2.411611782
0.04,0.96,0.01,14541.03772,49500000,0.029082075,0.000270197
0.04,0.96,0.02,29731.75044,49000000,0.02973175,0.000286137
0.04,0.96,0.03,45600.69947,48500000,0.030400466,0.000303
0.04,0.96,0.04,62177.746,48000000,0.031088873,0.000320841
0.04,0.96,0.05,79494.11462,47500000,0.031797646,0.00033972
0.04,0.96,0.06,97582.46038,47000000,0.032527487,0.0003597
0.04,0.96,0.07,116476.9395,46500000,0.033279126,0.000380846
0.04,0.96,0.08,136213.2838,46000000,0.034053321,0.00040323
0.04,0.96,0.09,156828.8794,45500000,0.034850862,0.000426928
0.04,0.96,0.1,178362.8499,45000000,0.03567257,0.00045202
0.04,0.96,0.11,200856.1437,44500000,0.036519299,0.000478593
0.04,0.96,0.12,224351.6265,44000000,0.037391938,0.000506739
0.04,0.96,0.13,248894.1794,43500000,0.038291412,0.000536555
0.04,0.96,0.14,274530.802,43000000,0.039218686,0.000568146
0.04,0.96,0.15,301310.7217,42500000,0.040174763,0.000601625
0.04,0.96,0.16,329285.5092,42000000,0.041160689,0.000637111
0.04,0.96,0.17,358509.2006,41500000,0.042177553,0.000674731
0.04,0.96,0.18,389038.4273,41000000,0.043226492,0.000714624
0.04,0.96,0.19,420932.5526,40500000,0.04430869,0.000756934
0.04,0.96,0.2,454253.817,40000000,0.045425382,0.00080182
0.04,0.96,0.21,489067.4925,39500000,0.046577856,0.000849448
0.04,0.96,0.22,525442.0453,39000000,0.047767459,0.0009
0.04,0.96,0.23,563449.3091,38500000,0.048995592,0.000953669
0.04,0.96,0.24,603164.6691,38000000,0.050263722,0.001010661
0.04,0.96,0.25,644667.2573,37500000,0.051573381,0.0010712
0.04,0.96,0.26,688040.1592,37000000,0.052926166,0.001135525
0.04,0.96,0.27,733370.6353,36500000,0.054323751,0.001203893
0.04,0.96,0.28,780750.3547,36000000,0.055767882,0.001276581
0.04,0.96,0.29,830275.6453,35500000,0.057260389,0.001353887
0.04,0.96,0.3,882047.759,35000000,0.058803184,0.001436132
0.04,0.96,0.31,936173.1554,34500000,0.060398268,0.001523661
0.04,0.96,0.32,992763.8033,34000000,0.062047738,0.001616849
0.04,0.96,0.33,1051937.503,33500000,0.063753788,0.001716098
0.04,0.96,0.34,1113818.23,33000000,0.065518719,0.001821843
0.04,0.96,0.35,1178536.502,32500000,0.067344943,0.001934555
0.04,0.96,0.36,1246229.772,32000000,0.069234987,0.002054743
0.04,0.96,0.37,1317042.846,31500000,0.071191505,0.002182958
0.04,0.96,0.38,1391128.337,31000000,0.073217281,0.0023198
0.04,0.96,0.39,1468647.141,30500000,0.075315238,0.002465916
0.04,0.96,0.4,1549768.958,30000000,0.077488448,0.00262201
0.04,0.96,0.41,1634672.842,29500000,0.079740139,0.002788848
0.04,0.96,0.42,1723547.799,29000000,0.082073705,0.002967264
0.04,0.96,0.43,1816593.425,28500000,0.084492717,0.003158164
0.04,0.96,0.44,1914020.592,28000000,0.087000936,0.003362537
0.04,0.96,0.45,2016052.193,27500000,0.08960232,0.003581464
0.04,0.96,0.46,2122923.937,27000000,0.092301041,0.003816124
0.04,0.96,0.47,2234885.209,26500000,0.095101498,0.004067808
0.04,0.96,0.48,2352200.008,26000000,0.098008334,0.004337931
0.04,0.96,0.49,2475147.943,25500000,0.101026447,0.004628043
0.04,0.96,0.5,2604025.329,25000000,0.104161013,0.004939848
0.04,0.96,0.51,2739146.367,24500000,0.107417505,0.00527522
0.04,0.96,0.52,2880844.423,24000000,0.110801709,0.005636223
0.04,0.96,0.53,3029473.421,23500000,0.114319752,0.006025133
0.04,0.96,0.54,3185409.358,23000000,0.117978124,0.006444467
0.04,0.96,0.55,3349051.954,22500000,0.121783707,0.006897008
0.04,0.96,0.56,3520826.458,22000000,0.125743802,0.007385844
0.04,0.96,0.57,3701185.608,21500000,0.129866162,0.007914403
0.04,0.96,0.58,3890611.795,21000000,0.134159027,0.008486499
0.04,0.96,0.59,4089619.426,20500000,0.138631167,0.009106386
0.04,0.96,0.6,4298757.518,20000000,0.143291917,0.009778817
0.04,0.96,0.61,4518612.561,19500000,0.148151232,0.010509114
0.04,0.96,0.62,4749811.673,19000000,0.153219731,0.01130325
0.04,0.96,0.63,4993026.085,18500000,0.158508765,0.012167946
0.04,0.96,0.64,5248975.008,18000000,0.164030469,0.013110783
0.04,0.96,0.65,5518429.926,17500000,0.169797844,0.014140336
0.04,0.96,0.66,5802219.368,17000000,0.175824829,0.015266331
0.04,0.96,0.67,6101234.252,16500000,0.182126396,0.016499834
0.04,0.96,0.68,6416433.856,16000000,0.188718643,0.017853479
0.04,0.96,0.69,6748852.531,15500000,0.195618914,0.019341733
0.04,0.96,0.7,7099607.26,15000000,0.202845922,0.020981229
0.04,0.96,0.71,7469906.22,14500000,0.210419894,0.022791164
0.04,0.96,0.72,7861058.485,14000000,0.218362736,0.024793781
0.04,0.96,0.73,8274485.101,13500000,0.226698222,0.027014975
0.04,0.96,0.74,8711731.756,13000000,0.23545221,0.029485034
0.04,0.96,0.75,9174483.361,12500000,0.24465289,0.032239569
0.04,0.96,0.76,9664580.911,12000000,0.254331077,0.035320678
0.04,0.96,0.77,10184041.09,11500000,0.264520548,0.038778439
0.04,0.96,0.78,10735079.2,11000000,0.275258441,0.042672802
0.04,0.96,0.79,11320136.2,10500000,0.286585727,0.04707606
0.04,0.96,0.8,11941910.74,10000000,0.298547769,0.052076068
0.04,0.96,0.81,12603397.51,9500000,0.311195,0.057780508
0.04,0.96,0.82,13307933.53,9000000,0.324583745,0.064322631
0.04,0.96,0.83,14059254.55,8500000,0.338777218,0.071869048
0.04,0.96,0.84,14861564.57,8000000,0.353846775,0.080630547
0.04,0.96,0.85,15719622.6,7500000,0.369873473,0.09087731
0.04,0.96,0.86,16638852.46,7000000,0.386950057,0.102960812
0.04,0.96,0.87,17625483.92,6500000,0.405183538,0.117346038
0.04,0.96,0.88,18686737.56,6000000,0.424698581,0.134660132
0.04,0.96,0.89,19831071.77,5500000,0.445642062,0.155768081
0.04,0.96,0.9,21068521.25,5000000,0.468189361,0.181894647
0.04,0.96,0.91,22411173.85,4500000,0.492553271,0.214828985
0.04,0.96,0.92,23873865.7,4000000,0.51899708,0.257285244
0.04,0.96,0.93,25475236.58,3500000,0.54785455,0.313577106
0.04,0.96,0.94,27239413.92,3000000,0.579561998,0.390976958
0.04,0.96,0.95,29198873.33,2500000,0.614713123,0.502729543
0.04,0.96,0.96,31399704.4,2000000,0.654160508,0.675649186
0.04,0.96,0.97,33912404.36,1500000,0.699224832,0.973121858
0.04,0.96,0.98,36857621.15,1000000,0.75219635,1.588115544
0.04,0.96,0.99,40483566.75,500000,0.817849833,3.50461457
0.05,0.95,0.01,14665.73777,49500000,0.029331476,0.000341437
0.05,0.95,0.02,29993.5452,49000000,0.029993545,0.000361723
0.05,0.95,0.03,46012.8558,48500000,0.030675237,0.000383193
0.05,0.95,0.04,62754.45792,48000000,0.031377229,0.000405919
0.05,0.95,0.05,80250.56179,47500000,0.032100225,0.000429976
0.05,0.95,0.06,98534.87019,47000000,0.032844957,0.000455447
0.05,0.95,0.07,117642.6531,46500000,0.033612187,0.000482416
0.05,0.95,0.08,137610.8262,46000000,0.034402707,0.000510976
